date,state,district,pincode,bio_age_5_17,bio_age_17,state_temp,district_temp,state/ut,district_master,state/ut_master,district_master,state_final,district_final
2025-03-01,Jharkhand,Purbi Singhbhum,831001,44,176,Jharkhand,Purbi Singhbhum,,,,,Jharkhand,Purbi Singhbhum
2025-03-01,Uttar Pradesh,Rae Bareli,229212,183,104,Uttar Pradesh,Rae Bareli,,,,,Uttar Pradesh,Rae Bareli
2025-03-01,Jharkhand,Purbi Singhbhum,831009,76,199,Jharkhand,Purbi Singhbhum,,,,,Jharkhand,Purbi Singhbhum
2025-03-01,Gujarat,Kachchh,370510,367,286,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Karnataka,Belgaum,591220,122,164,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Karnataka,Mysore,570024,10,45,Karnataka,Mysore,,,,,Karnataka,Mysore
2025-03-01,Karnataka,Chickmagalur,577111,21,71,Karnataka,Chickmagalur,,,,,Karnataka,Chickmagalur
2025-03-01,Punjab,Firozpur,152002,21,225,Punjab,Firozpur,,,,,Punjab,Firozpur
2025-03-01,Andhra Pradesh,N. T. R,521456,12,21,Andhra Pradesh,N. T. R,,,,,Andhra Pradesh,N. T. R
2025-03-01,Karnataka,Bangalore,560030,56,184,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Gujarat,Kachchh,370490,125,101,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Odisha,Baleswar,756048,77,124,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Karnataka,Bangalore,560060,73,316,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Andhra Pradesh,N. T. R,521230,41,47,Andhra Pradesh,N. T. R,,,,,Andhra Pradesh,N. T. R
2025-03-01,Haryana,Gurgaon,122503,246,236,Haryana,Gurgaon,,,,,Haryana,Gurgaon
2025-03-01,Andhra Pradesh,Ananthapuramu,515445,58,8,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Andhra Pradesh,Cuddapah,516401,50,16,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,West Bengal,Koch Bihar,736134,17,50,West Bengal,Koch Bihar,,,,,West Bengal,Koch Bihar
2025-03-01,Jharkhand,Pashchimi Singhbhum,833201,595,1230,Jharkhand,Pashchimi Singhbhum,,,,,Jharkhand,Pashchimi Singhbhum
2025-03-01,Andhra Pradesh,N. T. R,521175,12,25,Andhra Pradesh,N. T. R,,,,,Andhra Pradesh,N. T. R
2025-03-01,Haryana,Gurgaon,122001,1332,1436,Haryana,Gurgaon,,,,,Haryana,Gurgaon
2025-03-01,Karnataka,Bangalore,560015,33,122,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Karnataka,Belgaum,591114,84,129,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,West Bengal,Koch Bihar,735303,17,78,West Bengal,Koch Bihar,,,,,West Bengal,Koch Bihar
2025-03-01,Karnataka,Chickmagalur,577136,11,28,Karnataka,Chickmagalur,,,,,Karnataka,Chickmagalur
2025-03-01,Bihar,Purnea,854301,49,216,Bihar,Purnea,,,,,Bihar,Purnea
2025-03-01,Andhra Pradesh,Ananthapuramu,515722,112,9,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Uttar Pradesh,Faizabad,224132,26,17,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Uttar Pradesh,Faizabad,224001,634,379,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Telangana,Yadadri.,508101,21,24,Telangana,Yadadri.,,,,,Telangana,Yadadri.
2025-03-01,Karnataka,Belgaum,591130,61,55,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Odisha,Baleswar,756041,156,107,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Odisha,Baleswar,756081,79,100,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Jharkhand,Purbi Singhbhum,832110,60,335,Jharkhand,Purbi Singhbhum,,,,,Jharkhand,Purbi Singhbhum
2025-03-01,Odisha,JAJPUR,755028,19,48,Odisha,JAJPUR,,,,,Odisha,JAJPUR
2025-03-01,Uttar Pradesh,Rae Bareli,229122,477,124,Uttar Pradesh,Rae Bareli,,,,,Uttar Pradesh,Rae Bareli
2025-03-01,Andhra Pradesh,Cuddapah,516152,29,17,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Karnataka,Shimoga,577202,29,86,Karnataka,Shimoga,,,,,Karnataka,Shimoga
2025-03-01,Uttar Pradesh,Faizabad,224123,169,128,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Karnataka,Mysore,570016,27,155,Karnataka,Mysore,,,,,Karnataka,Mysore
2025-03-01,Karnataka,Chickmagalur,577547,23,73,Karnataka,Chickmagalur,,,,,Karnataka,Chickmagalur
2025-03-01,Andhra Pradesh,Cuddapah,516359,139,67,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Andhra Pradesh,Ananthapuramu,515154,184,10,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Odisha,JAJPUR,754292,37,65,Odisha,JAJPUR,,,,,Odisha,JAJPUR
2025-03-01,Gujarat,Kachchh,370670,64,31,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Karnataka,Chickmagalur,577101,71,192,Karnataka,Chickmagalur,,,,,Karnataka,Chickmagalur
2025-03-01,Punjab,S.A.S Nagar(Mohali),140301,15,150,Punjab,S.A.S Nagar(Mohali),,,,,Punjab,S.A.S Nagar(Mohali)
2025-03-01,Karnataka,Belgaum,591313,67,103,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Odisha,Baleswar,756026,128,244,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Uttar Pradesh,Faizabad,224135,166,59,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Gujarat,Chhotaudepur,391125,49,58,Gujarat,Chhotaudepur,,,,,Gujarat,Chhotaudepur
2025-03-01,Odisha,JAJPUR,754250,10,10,Odisha,JAJPUR,,,,,Odisha,JAJPUR
2025-03-01,Karnataka,Belgaum,591147,45,14,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Karnataka,Bangalore,560001,20,112,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Karnataka,Belgaum,591120,76,91,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Karnataka,Bellary,583123,56,62,Karnataka,Bellary,,,,,Karnataka,Bellary
2025-03-01,West Bengal,Koch Bihar,736135,12,121,West Bengal,Koch Bihar,,,,,West Bengal,Koch Bihar
2025-03-01,Odisha,Baudh,762018,19,212,Odisha,Baudh,,,,,Odisha,Baudh
2025-03-01,Andhra Pradesh,Ananthapuramu,515133,136,1,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Gujarat,Kachchh,370160,54,47,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Karnataka,Chickmagalur,577132,36,136,Karnataka,Chickmagalur,,,,,Karnataka,Chickmagalur
2025-03-01,Uttar Pradesh,Allahabad,212507,747,269,Uttar Pradesh,Allahabad,,,,,Uttar Pradesh,Allahabad
2025-03-01,Karnataka,Bangalore,560058,79,353,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Bihar,Purnea,854337,32,176,Bihar,Purnea,,,,,Bihar,Purnea
2025-03-01,Jharkhand,Pashchimi Singhbhum,835216,12,46,Jharkhand,Pashchimi Singhbhum,,,,,Jharkhand,Pashchimi Singhbhum
2025-03-01,Andhra Pradesh,Cuddapah,516227,577,208,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Karnataka,Belgaum,591226,83,122,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Odisha,Baleswar,756166,45,77,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Karnataka,Bangalore,560073,56,208,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Andhra Pradesh,N. T. R,520015,49,84,Andhra Pradesh,N. T. R,,,,,Andhra Pradesh,N. T. R
2025-03-01,Andhra Pradesh,Ananthapuramu,515311,137,13,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Karnataka,Bangalore,560034,17,91,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Andhra Pradesh,Y. S. R,516172,15,22,Andhra Pradesh,Y. S. R,,,,,Andhra Pradesh,Y. S. R
2025-03-01,Karnataka,Bangalore,560003,24,199,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Gujarat,Chhotaudepur,391160,298,282,Gujarat,Chhotaudepur,,,,,Gujarat,Chhotaudepur
2025-03-01,Andhra Pradesh,Ananthapuramu,515651,49,2,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,West Bengal,Haora,711408,14,43,West Bengal,Haora,,,,,West Bengal,Haora
2025-03-01,Telangana,Yadadri.,508112,39,36,Telangana,Yadadri.,,,,,Telangana,Yadadri.
2025-03-01,Gujarat,Dohad,389180,16,189,Gujarat,Dohad,,,,,Gujarat,Dohad
2025-03-01,Karnataka,Belgaum,591108,44,134,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Andhra Pradesh,Rangareddi,500015,25,99,Andhra Pradesh,Rangareddi,,,,,Andhra Pradesh,Rangareddi
2025-03-01,Karnataka,Bellary,583224,31,67,Karnataka,Bellary,,,,,Karnataka,Bellary
2025-03-01,Uttar Pradesh,Allahabad,211003,696,454,Uttar Pradesh,Allahabad,,,,,Uttar Pradesh,Allahabad
2025-03-01,Uttar Pradesh,Bara Banki,225304,520,182,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,Karnataka,Belgaum,591103,15,52,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Andhra Pradesh,Cuddapah,516001,604,298,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,West Bengal,Koch Bihar,736160,14,37,West Bengal,Koch Bihar,,,,,West Bengal,Koch Bihar
2025-03-01,Karnataka,Belgaum,591243,48,53,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Uttar Pradesh,Faizabad,224207,20,27,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Karnataka,Mysore,571604,31,143,Karnataka,Mysore,,,,,Karnataka,Mysore
2025-03-01,Andhra Pradesh,Cuddapah,516505,142,48,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Karnataka,Shimoga,577430,11,25,Karnataka,Shimoga,,,,,Karnataka,Shimoga
2025-03-01,Karnataka,Belgaum,591265,120,79,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Karnataka,Belgaum,590005,58,127,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Uttar Pradesh,Bara Banki,225303,215,86,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,Andhra Pradesh,Rangareddi,500037,41,214,Andhra Pradesh,Rangareddi,,,,,Andhra Pradesh,Rangareddi
2025-03-01,Andhra Pradesh,Cuddapah,516396,63,26,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Karnataka,Mysore,570017,15,117,Karnataka,Mysore,,,,,Karnataka,Mysore
2025-03-01,Jharkhand,Pashchimi Singhbhum,833215,113,113,Jharkhand,Pashchimi Singhbhum,,,,,Jharkhand,Pashchimi Singhbhum
2025-03-01,Andhra Pradesh,Ananthapuramu,515721,74,13,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Chhattisgarh,Kawardha,491995,380,1606,Chhattisgarh,Kawardha,,,,,Chhattisgarh,Kawardha
2025-03-01,Jharkhand,Purbi Singhbhum,831003,38,129,Jharkhand,Purbi Singhbhum,,,,,Jharkhand,Purbi Singhbhum
2025-03-01,Telangana,Yadadri.,508105,21,10,Telangana,Yadadri.,,,,,Telangana,Yadadri.
2025-03-01,Uttar Pradesh,Bara Banki,225413,424,175,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,West Bengal,Haora,711316,50,81,West Bengal,Haora,,,,,West Bengal,Haora
2025-03-01,Karnataka,Gulbarga,585313,54,137,Karnataka,Gulbarga,,,,,Karnataka,Gulbarga
2025-03-01,Karnataka,Bellary,583102,106,219,Karnataka,Bellary,,,,,Karnataka,Bellary
2025-03-01,Karnataka,Belgaum,591316,48,100,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Odisha,Baleswar,756079,52,108,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Karnataka,Belgaum,591234,54,66,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Gujarat,Kachchh,370650,86,77,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Karnataka,Gulbarga,585217,46,101,Karnataka,Gulbarga,,,,,Karnataka,Gulbarga
2025-03-01,Karnataka,Gulbarga,585103,133,257,Karnataka,Gulbarga,,,,,Karnataka,Gulbarga
2025-03-01,Uttar Pradesh,Faizabad,224234,83,30,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Karnataka,Bellary,583130,110,86,Karnataka,Bellary,,,,,Karnataka,Bellary
2025-03-01,Andhra Pradesh,Ananthapuramu,515231,267,34,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Karnataka,Bangalore,560039,33,189,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Karnataka,Bellary,583212,100,192,Karnataka,Bellary,,,,,Karnataka,Bellary
2025-03-01,Odisha,Baleswar,756037,44,63,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Uttar Pradesh,Bara Banki,225125,12,28,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,Gujarat,Kachchh,370645,68,80,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Gujarat,Kachchh,370210,28,22,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Karnataka,Bangalore,560068,150,493,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Andhra Pradesh,Cuddapah,516349,87,31,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
2025-03-01,Uttar Pradesh,Bara Banki,227302,325,137,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,West Bengal,Haora,711412,18,33,West Bengal,Haora,,,,,West Bengal,Haora
2025-03-01,Karnataka,Mysore,570007,34,154,Karnataka,Mysore,,,,,Karnataka,Mysore
2025-03-01,West Bengal,Darjiling,734429,15,95,West Bengal,Darjiling,,,,,West Bengal,Darjiling
2025-03-01,Karnataka,Chickmagalur,577146,12,48,Karnataka,Chickmagalur,,,,,Karnataka,Chickmagalur
2025-03-01,Karnataka,Bangalore,560062,60,180,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Karnataka,Belgaum,591308,15,16,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Uttar Pradesh,Allahabad,212104,798,220,Uttar Pradesh,Allahabad,,,,,Uttar Pradesh,Allahabad
2025-03-01,Karnataka,Chickmagalur,577168,22,74,Karnataka,Chickmagalur,,,,,Karnataka,Chickmagalur
2025-03-01,Uttar Pradesh,Bara Banki,227131,470,250,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,Andhra Pradesh,Ananthapuramu,515872,37,7,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Gujarat,Kachchh,370615,165,122,Gujarat,Kachchh,,,,,Gujarat,Kachchh
2025-03-01,Karnataka,Bangalore,560022,47,238,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Odisha,Baleswar,756055,51,41,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Uttar Pradesh,Faizabad,224209,128,85,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Pondicherry,Pondicherry,605106,14,96,Pondicherry,Pondicherry,,,,,Pondicherry,Pondicherry
2025-03-01,Karnataka,Belgaum,591126,152,172,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Punjab,Firozpur,152023,33,327,Punjab,Firozpur,,,,,Punjab,Firozpur
2025-03-01,Madhya Pradesh,Narsimhapur,487001,28,205,Madhya Pradesh,Narsimhapur,,,,,Madhya Pradesh,Narsimhapur
2025-03-01,Karnataka,Bagalkot *,587101,10,41,Karnataka,Bagalkot *,,,,,Karnataka,Bagalkot *
2025-03-01,Karnataka,Belgaum,591287,16,33,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Karnataka,Bangalore,560061,49,163,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Punjab,Firozpur,152128,10,56,Punjab,Firozpur,,,,,Punjab,Firozpur
2025-03-01,Odisha,Baleswar,756051,32,33,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Bihar,Purnea,854326,31,43,Bihar,Purnea,,,,,Bihar,Purnea
2025-03-01,Karnataka,Mysore,571108,16,36,Karnataka,Mysore,,,,,Karnataka,Mysore
2025-03-01,Andhra Pradesh,Rangareddi,501141,27,80,Andhra Pradesh,Rangareddi,,,,,Andhra Pradesh,Rangareddi
2025-03-01,Karnataka,Shimoga,577450,14,32,Karnataka,Shimoga,,,,,Karnataka,Shimoga
2025-03-01,Uttar Pradesh,Bara Banki,225119,202,93,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,Odisha,Baleswar,756056,58,93,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Odisha,Baleswar,756058,99,77,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Karnataka,Belgaum,591104,109,102,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Uttar Pradesh,Bara Banki,225409,1401,387,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,Uttar Pradesh,Allahabad,211007,22,24,Uttar Pradesh,Allahabad,,,,,Uttar Pradesh,Allahabad
2025-03-01,Andhra Pradesh,N. T. R,520012,24,95,Andhra Pradesh,N. T. R,,,,,Andhra Pradesh,N. T. R
2025-03-01,Karnataka,Bangalore,562106,129,330,Karnataka,Bangalore,,,,,Karnataka,Bangalore
2025-03-01,Karnataka,Shimoga,577214,25,129,Karnataka,Shimoga,,,,,Karnataka,Shimoga
2025-03-01,Andhra Pradesh,Ananthapuramu,515501,309,7,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Karnataka,Bellary,583129,50,79,Karnataka,Bellary,,,,,Karnataka,Bellary
2025-03-01,Andhra Pradesh,Ananthapuramu,515321,163,5,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Jammu and Kashmir,Shupiyan,192303,693,1169,Jammu and Kashmir,Shupiyan,,,,,Jammu and Kashmir,Shupiyan
2025-03-01,Uttar Pradesh,Allahabad,212301,766,365,Uttar Pradesh,Allahabad,,,,,Uttar Pradesh,Allahabad
2025-03-01,Karnataka,Belgaum,591221,47,78,Karnataka,Belgaum,,,,,Karnataka,Belgaum
2025-03-01,Uttar Pradesh,Rae Bareli,229203,237,121,Uttar Pradesh,Rae Bareli,,,,,Uttar Pradesh,Rae Bareli
2025-03-01,Karnataka,yadgir,585201,14,68,Karnataka,yadgir,,,,,Karnataka,yadgir
2025-03-01,Punjab,Firozpur,152116,11,127,Punjab,Firozpur,,,,,Punjab,Firozpur
2025-03-01,Uttar Pradesh,Rae Bareli,229406,99,44,Uttar Pradesh,Rae Bareli,,,,,Uttar Pradesh,Rae Bareli
2025-03-01,Uttar Pradesh,Rae Bareli,229302,83,32,Uttar Pradesh,Rae Bareli,,,,,Uttar Pradesh,Rae Bareli
2025-03-01,West Bengal,Koch Bihar,736131,21,42,West Bengal,Koch Bihar,,,,,West Bengal,Koch Bihar
2025-03-01,Uttar Pradesh,Bara Banki,225202,187,70,Uttar Pradesh,Bara Banki,,,,,Uttar Pradesh,Bara Banki
2025-03-01,Odisha,Baleswar,756126,136,201,Odisha,Baleswar,,,,,Odisha,Baleswar
2025-03-01,Uttar Pradesh,Faizabad,224228,66,29,Uttar Pradesh,Faizabad,,,,,Uttar Pradesh,Faizabad
2025-03-01,Andhra Pradesh,Ananthapuramu,515123,32,7,Andhra Pradesh,Ananthapuramu,,,,,Andhra Pradesh,Ananthapuramu
2025-03-01,Andhra Pradesh,Cuddapah,516257,135,67,Andhra Pradesh,Cuddapah,,,,,Andhra Pradesh,Cuddapah
